Serial No.,Round No.,Period,City,Age,Gender,Annual Income,Assembly Constituency Name,Educational Qualification,No. of Family Members,No. of Earning members in the family,Occupation of Respondent,Perception on General Economic condition - compared to one year ago,Outlook on General Economic condition - one year ahead,Perception on Household income - compared to one year ago,Outlook on Household income - one year ahead,Perception on Household spending - compared to one year ago,Outlook on Household spending - one year ahead,Perception on essential spending - compared to one year ago,Outlook on essential spending - one year ahead,Perception on non-essential spending - compared to one year ago,Outlook on non-essential spending - one year ahead,Perception on Employment scenario - compared to one year ago,Outlook on Employment scenario - one year ahead,Perception on General prices - compared to one year ago,Outlook on General prices - one year ahead,Perception on Inflation - compared to one year ago,Outlook on Inflation - one year ahead
2719,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,BAWANA ,10th Std-Below 12th Std,5 and more,1,Self Employed/ Business,Worsened,Will worsen,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2720,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,BAWANA ,5th Std-Below 10th Std,5 and more,2,Self Employed/ Business,Improved,Will improve,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Decreased,Will decrease,,
2721,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,BAWANA ,Below 5th Std,3 or 4,1,Self Employed/ Business,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Remain the same,Increased,Will increase,Remained the same,Remain the same
2722,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,BIJWASAN ,10th Std-Below 12th Std,5 and more,1,Unemployed,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Remained the same,Remain the same
2723,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,BIJWASAN ,Below 5th Std,5 and more,2,Employed,Remained the same,Remain the same,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will improve,Increased,Will increase,Decreased,Will decrease
2724,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,BIJWASAN ,Illiterate,5 and more,1,Self Employed/ Business,Worsened,Remain the same,Remained the same,Will increase,Decreased,Remain the same,Decreased,Remain the same,Remained the same,Remain the same,Worsened,Remain the same,Increased,Will increase,Decreased,Will decrease
2725,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,BURARI ,10th Std-Below 12th Std,5 and more,1,Employed,Worsened,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Worsened,Remain the same,Increased,Will increase,Remained the same,Will increase
2726,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,BURARI ,12th Std,3 or 4,3,Self Employed/ Business,Improved,Will improve,Decreased,Remain the same,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Worsened,Will improve,Increased,Will increase,Decreased,Will decrease
2727,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,BURARI ,12th Std,5 and more,1,Self Employed/ Business,Remained the same,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Remained the same,Remain the same
2728,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,CHHATARPUR ,10th Std-Below 12th Std,3 or 4,1,Self Employed/ Business,Improved,Will improve,Remained the same,Will increase,Remained the same,Remain the same,Remained the same,Will increase,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Will increase,,Remain the same
2729,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,DWARKA ,5th Std-Below 10th Std,5 and more,2,Self Employed/ Business,Worsened,Will improve,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Remain the same,Remained the same,
2730,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,DWARKA ,Post Graduate,3 or 4,1,Self Employed/ Business,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Decreased,Will decrease
2731,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,GANDHI NAGAR ,5th Std-Below 10th Std,1 to 2,1,Employed,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2732,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,GHONDA ,10th Std-Below 12th Std,3 or 4,1,Employed,Remained the same,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
2733,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,GREATER KAILASH ,5th Std-Below 10th Std,3 or 4,2,Employed,Improved,Remain the same,Decreased,Remain the same,Remained the same,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2734,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,GREATER KAILASH ,Illiterate,5 and more,1,Self Employed/ Business,Worsened,Will worsen,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Will decrease,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2735,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,GREATER KAILASH ,Illiterate,5 and more,2,Employed,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2736,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,KARAWAL NAGAR ,10th Std-Below 12th Std,3 or 4,1,Employed,Remained the same,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Remained the same,Will increase
2737,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,KAROL BAGH ,10th Std-Below 12th Std,3 or 4,1,Self Employed/ Business,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2738,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,KAROL BAGH ,12th Std,3 or 4,1,Employed,Worsened,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will worsen,Increased,Will increase,Remained the same,Will increase
2739,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,KASTURBA NAGAR ,5th Std-Below 10th Std,3 or 4,1,Self Employed/ Business,Worsened,Will worsen,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
2740,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,KIRARI ,12th Std,5 and more,1,Employed,Worsened,Will worsen,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Remained the same,Will decrease
2741,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,KIRARI ,5th Std-Below 10th Std,5 and more,1,Self Employed/ Business,Worsened,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Remain the same,Increased,Will increase,Increased,Remain the same
2742,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,KONDLI ,Illiterate,5 and more,1,Employed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Improved,Will improve,Decreased,Will decrease,,
2743,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,KRISHNA NAGAR ,10th Std-Below 12th Std,3 or 4,2,Self Employed/ Business,Improved,Will improve,Decreased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Worsened,Will improve,Decreased,Will increase,,Will increase
2744,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,LAXMI NAGAR ,10th Std-Below 12th Std,5 and more,1,Self Employed/ Business,Worsened,Will worsen,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2745,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,LAXMI NAGAR ,5th Std-Below 10th Std,5 and more,1,Unemployed,Remained the same,Will worsen,Remained the same,Remain the same,Decreased,Will decrease,Decreased,Will decrease,Decreased,Will decrease,Worsened,Will worsen,Increased,Will increase,Decreased,Will decrease
2746,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,MATIALA ,10th Std-Below 12th Std,5 and more,1,Self Employed/ Business,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Remained the same,Will increase,,Remain the same
2747,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,MATIALA ,5th Std-Below 10th Std,3 or 4,1,Employed,Worsened,Will worsen,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2748,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,MODEL TOWN ,12th Std,3 or 4,1,Self Employed/ Business,Improved,Will improve,Increased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
2749,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,MODEL TOWN ,5th Std-Below 10th Std,5 and more,2,Self Employed/ Business,Worsened,Will worsen,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,,
2750,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,MOTI NAGAR ,10th Std-Below 12th Std,1 to 2,2,Self Employed/ Business,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will improve,Increased,Will increase,Decreased,Will decrease
2751,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,MOTI NAGAR ,5th Std-Below 10th Std,5 and more,1,Self Employed/ Business,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Remained the same,Remain the same,,
2752,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,MOTI NAGAR ,5th Std-Below 10th Std,5 and more,2,Daily worker,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Decreased,Will decrease
2753,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,MUNDKA ,5th Std-Below 10th Std,1 to 2,1,Employed,Improved,Will improve,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
2754,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,MUSTAFABAD ,10th Std-Below 12th Std,5 and more,2,Employed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Remain the same
2755,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,MUSTAFABAD ,12th Std,5 and more,2,Employed,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Remained the same,Remain the same,,
2756,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,MUSTAFABAD ,Graduate,3 or 4,2,Employed,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2757,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,NAJAFGARH ,Graduate,3 or 4,2,Employed,Remained the same,Will worsen,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Decreased,Will decrease,Improved,Will improve,Increased,Will increase,Decreased,Will decrease
2758,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,NANGLOI JAT ,5th Std-Below 10th Std,3 or 4,1,Unemployed,Improved,Will improve,Remained the same,Will increase,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Improved,Will improve,Remained the same,Will increase,,Will increase
2759,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,NANGLOI JAT ,5th Std-Below 10th Std,5 and more,1,Daily worker,Remained the same,Remain the same,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
2760,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,NANGLOI JAT ,5th Std-Below 10th Std,5 and more,1,Employed,Worsened,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2761,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,NANGLOI JAT ,Graduate,5 and more,1,Employed,Remained the same,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,,
2762,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,NERELA ,12th Std,5 and more,3,Self Employed/ Business,Worsened,Will worsen,Decreased,Will decrease,Decreased,Will decrease,Decreased,Will decrease,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Remain the same
2763,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,NERELA ,5th Std-Below 10th Std,5 and more,1,Self Employed/ Business,Remained the same,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Remain the same,Increased,Remain the same,Decreased,
2764,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,NERELA ,Graduate,5 and more,3,Self Employed/ Business,Worsened,Will improve,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will decrease
2765,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,NERELA ,Illiterate,5 and more,2,Employed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Improved,Will improve,Decreased,Remain the same,,
2766,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,PALAM ,Graduate,5 and more,3,Self Employed/ Business,Worsened,Will improve,Decreased,Will increase,Remained the same,Remain the same,Decreased,Remain the same,Remained the same,Remain the same,Worsened,Remain the same,Remained the same,Remain the same,,
2767,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,PATEL NAGAR ,5th Std-Below 10th Std,3 or 4,1,Employed,Improved,Will improve,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Decreased,Will decrease,Worsened,Remain the same,Increased,Remain the same,Remained the same,
2768,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,PATEL NAGAR ,5th Std-Below 10th Std,5 and more,1,Employed,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2769,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,PATEL NAGAR ,5th Std-Below 10th Std,5 and more,1,Self Employed/ Business,Remained the same,Remain the same,Decreased,Will decrease,Remained the same,Remain the same,Remained the same,Will increase,Remained the same,Remain the same,Worsened,Remain the same,Increased,Will increase,Remained the same,Remain the same
2770,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,PATEL NAGAR ,Below 5th Std,1 to 2,1,Employed,Worsened,Will worsen,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Decreased,Remain the same
2771,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,PATPARGANJ ,10th Std-Below 12th Std,3 or 4,1,Self Employed/ Business,Improved,Will improve,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Remain the same,Remained the same,Will improve,Remained the same,Will increase,,Will decrease
2772,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,RITHALA ,5th Std-Below 10th Std,3 or 4,1,Employed,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2773,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,SANGAM VIHAR ,5th Std-Below 10th Std,3 or 4,1,Employed,Worsened,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2774,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,SANGAM VIHAR ,5th Std-Below 10th Std,3 or 4,1,Self Employed/ Business,Improved,Will improve,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Remain the same,Increased,Will increase,Remained the same,Will increase
2775,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,SEELAMPUR ,10th Std-Below 12th Std,5 and more,2,Self Employed/ Business,Worsened,Will worsen,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Remained the same,Will increase
2776,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,SHAHDARA ,10th Std-Below 12th Std,5 and more,1,Self Employed/ Business,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Remained the same,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2777,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,SHAKUR BASTI ,5th Std-Below 10th Std,5 and more,1,Daily worker,Improved,Will improve,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Remain the same,Increased,Remain the same,Increased,
2778,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,SHAKUR BASTI ,5th Std-Below 10th Std,5 and more,1,Self Employed/ Business,Worsened,Will worsen,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
2779,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,SHAKUR BASTI ,5th Std-Below 10th Std,5 and more,3,Employed,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will decrease,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2780,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,TIMARPUR ,10th Std-Below 12th Std,5 and more,3,Self Employed/ Business,Improved,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will decrease,Remained the same,
2781,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,UTTAM NAGAR ,10th Std-Below 12th Std,3 or 4,1,Employed,Worsened,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2782,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,UTTAM NAGAR ,10th Std-Below 12th Std,5 and more,1,Employed,Remained the same,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
2783,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,VIKASPURI ,10th Std-Below 12th Std,5 and more,1,Employed,Worsened,Will improve,Remained the same,Remain the same,Increased,Will increase,Remained the same,Will increase,Increased,Remain the same,Worsened,Will improve,Increased,Remain the same,Increased,
2784,41,Mar-18,Delhi,30-39 year,Male,Rs. 1 to less than 3 lakh,WAZIRPUR ,Graduate,3 or 4,1,Self Employed/ Business,Worsened,Will worsen,Decreased,Remain the same,Remained the same,Remain the same,Decreased,Will decrease,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Remained the same,Remain the same
2785,41,Mar-18,Delhi,30-39 year,Male,Rs. 3 lakh to 5 lakh,ADARSH NAGAR ,10th Std-Below 12th Std,5 and more,1,Self Employed/ Business,Improved,Will improve,Decreased,Will increase,Increased,Will increase,Remained the same,Will increase,Increased,Will increase,Improved,Will worsen,Increased,Will increase,Increased,Remain the same
2786,41,Mar-18,Delhi,30-39 year,Male,Rs. 3 lakh to 5 lakh,ADARSH NAGAR ,10th Std-Below 12th Std,5 and more,5,Self Employed/ Business,Worsened,Will worsen,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will decrease
2787,41,Mar-18,Delhi,30-39 year,Male,Rs. 3 lakh to 5 lakh,ADARSH NAGAR ,12th Std,5 and more,2,Self Employed/ Business,Worsened,Will worsen,Decreased,Remain the same,Remained the same,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Remained the same,Will increase
2788,41,Mar-18,Delhi,30-39 year,Male,Rs. 3 lakh to 5 lakh,ADARSH NAGAR ,Graduate,5 and more,3,Self Employed/ Business,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2789,41,Mar-18,Delhi,30-39 year,Male,Rs. 3 lakh to 5 lakh,BADLI ,Graduate,5 and more,3,Employed,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Remain the same,Remained the same,Remain the same,Remained the same,Will increase,,Will decrease
2790,41,Mar-18,Delhi,30-39 year,Male,Rs. 3 lakh to 5 lakh,BIJWASAN ,5th Std-Below 10th Std,3 or 4,1,Unemployed,Remained the same,Remain the same,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will improve,Remained the same,Will increase,,Remain the same
2791,41,Mar-18,Delhi,30-39 year,Male,Rs. 3 lakh to 5 lakh,GANDHI NAGAR ,Graduate,5 and more,1,Self Employed/ Business,Remained the same,Remain the same,Decreased,Will decrease,Decreased,Will decrease,Remained the same,Remain the same,Decreased,Will decrease,Worsened,Will worsen,Increased,Will increase,Remained the same,Remain the same
2792,41,Mar-18,Delhi,30-39 year,Male,Rs. 3 lakh to 5 lakh,LAXMI NAGAR ,Graduate,3 or 4,1,Self Employed/ Business,Remained the same,Will improve,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will improve,Remained the same,Will decrease,,
2793,41,Mar-18,Delhi,30-39 year,Male,Rs. 3 lakh to 5 lakh,MATIA MAHAL ,Graduate,5 and more,4,Self Employed/ Business,Worsened,Will worsen,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Remain the same,Remained the same,Remain the same,,
2794,41,Mar-18,Delhi,30-39 year,Male,Rs. 3 lakh to 5 lakh,MODEL TOWN ,10th Std-Below 12th Std,5 and more,2,Self Employed/ Business,Worsened,Will worsen,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Worsened,Will worsen,Remained the same,Will increase,,Will increase
2795,41,Mar-18,Delhi,30-39 year,Male,Rs. 3 lakh to 5 lakh,MODEL TOWN ,Graduate,5 and more,2,Self Employed/ Business,Improved,Will improve,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Remain the same
2796,41,Mar-18,Delhi,30-39 year,Male,Rs. 3 lakh to 5 lakh,NAJAFGARH ,Graduate,3 or 4,1,Employed,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Remain the same,Increased,Will increase,Remained the same,Remain the same
2797,41,Mar-18,Delhi,30-39 year,Male,Rs. 3 lakh to 5 lakh,PALAM ,10th Std-Below 12th Std,5 and more,2,Employed,Remained the same,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Remained the same,Remain the same,,
2798,41,Mar-18,Delhi,30-39 year,Male,Rs. 3 lakh to 5 lakh,SEELAMPUR ,10th Std-Below 12th Std,5 and more,1,Self Employed/ Business,Improved,Will improve,Decreased,Will increase,Remained the same,Will decrease,Remained the same,Will decrease,Remained the same,Will increase,Improved,Will improve,Decreased,Will decrease,,
2799,41,Mar-18,Delhi,30-39 year,Male,Rs. 3 lakh to 5 lakh,WAZIRPUR ,5th Std-Below 10th Std,5 and more,4,Self Employed/ Business,Worsened,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will improve,Increased,Will increase,Remained the same,Remain the same
2800,41,Mar-18,Delhi,30-39 year,Male,Rs. 5 lakh or more,KARAWAL NAGAR ,12th Std,5 and more,3,Employed,Remained the same,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Remained the same,Will increase
2801,41,Mar-18,Delhi,30-39 year,Male,Rs. 5 lakh or more,NAJAFGARH ,10th Std-Below 12th Std,5 and more,1,Self Employed/ Business,Remained the same,Remain the same,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will improve,Decreased,Remain the same,,
2802,41,Mar-18,Delhi,30-39 year,Male,Rs. 5 lakh or more,SHAHDARA ,12th Std,5 and more,1,Self Employed/ Business,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
2803,41,Mar-18,Delhi,40-59 year,Female,Rs. 1 lakh or less,BABARPUR ,10th Std-Below 12th Std,3 or 4,1,Self Employed/ Business,Improved,Will improve,Decreased,Will decrease,Increased,Will increase,Decreased,Will decrease,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Decreased,Will decrease
2804,41,Mar-18,Delhi,40-59 year,Female,Rs. 1 lakh or less,BADARPUR ,5th Std-Below 10th Std,3 or 4,1,House wife,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
2805,41,Mar-18,Delhi,40-59 year,Female,Rs. 1 lakh or less,BADARPUR ,Illiterate,5 and more,1,House wife,Worsened,Will worsen,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will worsen,Increased,Will increase,Increased,Will increase
