Serial No.,Round No.,Period,City,Age,Gender,Annual Income,Assembly Constituency Name,Educational Qualification,No. of Family Members,No. of Earning members in the family,Occupation of Respondent,Perception on General Economic condition - compared to one year ago,Outlook on General Economic condition - one year ahead,Perception on Household income - compared to one year ago,Outlook on Household income - one year ahead,Perception on Household spending - compared to one year ago,Outlook on Household spending - one year ahead,Perception on essential spending - compared to one year ago,Outlook on essential spending - one year ahead,Perception on non-essential spending - compared to one year ago,Outlook on non-essential spending - one year ahead,Perception on Employment scenario - compared to one year ago,Outlook on Employment scenario - one year ahead,Perception on General prices - compared to one year ago,Outlook on General prices - one year ahead,Perception on Inflation - compared to one year ago,Outlook on Inflation - one year ahead
2760,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 lakh or less,MODEL TOWN ,Below 5th Std,5 and more,1,House wife,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Remain the same,Remained the same,
2761,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 lakh or less,MUNDKA ,Below 5th Std,5 and more,2,House wife,Remained the same,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
2762,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 lakh or less,NANGLOI JAT ,Below 5th Std,1 to 2,1,Daily worker,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
2763,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 lakh or less,NANGLOI JAT ,Below 5th Std,3 or 4,1,House wife,Remained the same,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Will decrease,Worsened,Remain the same,Increased,Remain the same,Remained the same,
2764,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 lakh or less,NANGLOI JAT ,Illiterate,5 and more,4,House wife,Improved,Remain the same,Decreased,Will increase,Decreased,Remain the same,Increased,Will increase,Decreased,Remain the same,Worsened,Remain the same,Increased,Will decrease,Increased,
2765,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 lakh or less,OKHLA ,10th Std-Below 12th Std,3 or 4,1,House wife,Worsened,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
2766,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 lakh or less,OKHLA ,10th Std-Below 12th Std,5 and more,1,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2767,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 lakh or less,OKHLA ,Illiterate,3 or 4,1,House wife,Worsened,Remain the same,Remained the same,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2768,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 lakh or less,OKHLA ,Illiterate,5 and more,1,House wife,Worsened,Will worsen,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
2769,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 lakh or less,R K PURAM ,Illiterate,5 and more,1,House wife,Worsened,Will worsen,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2770,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 lakh or less,SHAKUR BASTI ,5th Std-Below 10th Std,3 or 4,1,Daily worker,Remained the same,Remain the same,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Worsened,Remain the same,Remained the same,Will increase,,Will increase
2771,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 lakh or less,SHAKUR BASTI ,Below 5th Std,5 and more,1,House wife,Remained the same,Will improve,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Remain the same,Worsened,Remain the same,Increased,Remain the same,Increased,
2772,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 lakh or less,SULTANPUR MAJRA ,5th Std-Below 10th Std,5 and more,1,House wife,Remained the same,Remain the same,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
2773,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 lakh or less,SULTANPUR MAJRA ,Below 5th Std,3 or 4,1,House wife,Improved,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
2774,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 lakh or less,SULTANPUR MAJRA ,Illiterate,5 and more,1,House wife,Remained the same,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Improved,Will improve,Increased,Will increase,Remained the same,Will increase
2775,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 lakh or less,TILAK NAGAR ,Below 5th Std,3 or 4,1,Employed,Remained the same,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Remained the same,Will improve,Increased,Will increase,Remained the same,Remain the same
2776,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 lakh or less,TRI NAGAR ,10th Std-Below 12th Std,3 or 4,1,House wife,Remained the same,Remain the same,Decreased,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Worsened,Will worsen,Remained the same,Will increase,,Will increase
2777,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 lakh or less,TRI NAGAR ,Illiterate,3 or 4,1,House wife,Improved,Will improve,Remained the same,Remain the same,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Worsened,Will improve,Remained the same,Remain the same,,
2778,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 lakh or less,VIKASPURI ,5th Std-Below 10th Std,5 and more,1,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Remained the same,Remain the same
2779,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 lakh or less,VISHWAS NAGAR ,Graduate,5 and more,2,Unemployed,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
2780,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,DWARKA ,Below 5th Std,5 and more,1,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Remain the same,Increased,Will increase,Decreased,Will decrease
2781,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,DWARKA ,Below 5th Std,5 and more,1,House wife,Worsened,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Decreased,Will decrease
2782,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,GANDHI NAGAR ,5th Std-Below 10th Std,5 and more,1,House wife,Worsened,Will worsen,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2783,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,GANDHI NAGAR ,5th Std-Below 10th Std,5 and more,2,House wife,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2784,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,GANDHI NAGAR ,Illiterate,5 and more,3,House wife,Remained the same,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will improve,Increased,Will increase,Increased,Will increase
2785,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,GANDHI NAGAR ,Illiterate,5 and more,3,House wife,Worsened,Will improve,Decreased,Will increase,Decreased,Will increase,Decreased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2786,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,GANDHI NAGAR ,Illiterate,5 and more,3,Self Employed/ Business,Worsened,Remain the same,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2787,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,GANDHI NAGAR ,Illiterate,5 and more,4,House wife,Worsened,Will improve,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Remain the same
2788,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,JANAKPURI ,Illiterate,3 or 4,1,House wife,Worsened,Will improve,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Improved,Remain the same,Increased,Will increase,Remained the same,Remain the same
2789,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,JANAKPURI ,Illiterate,3 or 4,3,Daily worker,Worsened,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will improve,Increased,Will increase,Remained the same,Remain the same
2790,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,JANAKPURI ,Illiterate,5 and more,2,House wife,Improved,Will improve,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will improve,Increased,Will increase,Increased,Will increase
2791,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,JANAKPURI ,Illiterate,5 and more,3,House wife,Remained the same,Remain the same,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will improve,Increased,Will increase,Increased,Will increase
2792,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,KALKAJI ,5th Std-Below 10th Std,5 and more,1,House wife,Improved,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
2793,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,KALKAJI ,5th Std-Below 10th Std,5 and more,1,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
2794,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,KALKAJI ,Illiterate,5 and more,3,Daily worker,Worsened,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2795,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,KIRARI ,Illiterate,5 and more,1,House wife,Remained the same,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
2796,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,KONDLI ,5th Std-Below 10th Std,5 and more,2,House wife,Improved,Will improve,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2797,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,LAXMI NAGAR ,10th Std-Below 12th Std,5 and more,2,Self Employed/ Business,Worsened,Will worsen,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
2798,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,MANGOL PURI ,Below 5th Std,5 and more,2,House wife,Improved,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
2799,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,MANGOL PURI ,Illiterate,5 and more,2,House wife,Remained the same,Will improve,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Worsened,Remain the same,Remained the same,Will increase,,Remain the same
2800,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,MATIALA ,5th Std-Below 10th Std,5 and more,2,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will worsen,Increased,Will increase,Decreased,Will decrease
2801,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,MOTI NAGAR ,10th Std-Below 12th Std,5 and more,1,House wife,Worsened,Will improve,Remained the same,Will increase,Increased,Remain the same,Increased,Will increase,Remained the same,Remain the same,Worsened,Remain the same,Increased,Will increase,Remained the same,Remain the same
2802,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,MOTI NAGAR ,5th Std-Below 10th Std,3 or 4,1,House wife,Worsened,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Decreased,Remain the same,Worsened,Will improve,Increased,Remain the same,Remained the same,
2803,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,MUNDKA ,10th Std-Below 12th Std,3 or 4,1,Self Employed/ Business,Worsened,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
2804,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,MUNDKA ,5th Std-Below 10th Std,5 and more,1,House wife,Remained the same,Remain the same,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
2805,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,MUNDKA ,Below 5th Std,5 and more,2,House wife,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
2806,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,MUNDKA ,Illiterate,5 and more,2,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Increased,Will increase
2807,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,MUSTAFABAD ,Illiterate,3 or 4,1,House wife,Worsened,Will worsen,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2808,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,NAJAFGARH ,5th Std-Below 10th Std,5 and more,1,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2809,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,NAJAFGARH ,Illiterate,3 or 4,1,Employed,Remained the same,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Remain the same
2810,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,NANGLOI JAT ,Below 5th Std,5 and more,2,Daily worker,Remained the same,Remain the same,Decreased,Remain the same,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Will increase,Worsened,Remain the same,Decreased,Will increase,,Will increase
2811,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,NANGLOI JAT ,Illiterate,3 or 4,2,Employed,Remained the same,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
2812,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,PALAM ,10th Std-Below 12th Std,3 or 4,2,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Remain the same
2813,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,PALAM ,10th Std-Below 12th Std,5 and more,1,House wife,Improved,Remain the same,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will improve,Increased,Will increase,Remained the same,Remain the same
2814,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,PALAM ,5th Std-Below 10th Std,5 and more,2,House wife,Worsened,Will improve,Remained the same,Will decrease,Remained the same,Remain the same,Increased,Remain the same,Remained the same,Remain the same,Worsened,Will improve,Increased,Will decrease,Remained the same,
2815,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,PALAM ,Illiterate,3 or 4,2,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Remain the same
2816,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,PALAM ,Illiterate,5 and more,1,House wife,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2817,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,PATPARGANJ ,Below 5th Std,5 and more,1,House wife,Remained the same,Will improve,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Remain the same,Decreased,
2818,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,RAJINDER NAGAR ,Graduate,3 or 4,2,Employed,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Will increase,,Remain the same
2819,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,RAJOURI GARDEN ,Illiterate,5 and more,1,House wife,Worsened,Will improve,Remained the same,Will increase,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Remained the same,Remain the same
2820,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,RAJOURI GARDEN ,Illiterate,5 and more,2,House wife,Remained the same,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will worsen,Increased,Will increase,Increased,Remain the same
2821,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,RAJOURI GARDEN ,Illiterate,5 and more,2,House wife,Worsened,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Remained the same,Will increase
2822,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,RAJOURI GARDEN ,Illiterate,5 and more,2,Self Employed/ Business,Improved,Will improve,Remained the same,Remain the same,Increased,Remain the same,Increased,Remain the same,Remained the same,Remain the same,Improved,Will improve,Remained the same,Will increase,,Remain the same
2823,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,ROHINI ,5th Std-Below 10th Std,3 or 4,1,House wife,Remained the same,Remain the same,Decreased,Remain the same,Remained the same,Will decrease,Remained the same,Remain the same,Remained the same,Will decrease,Remained the same,Remain the same,Remained the same,Remain the same,,
2824,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,SADAR BAZAR ,5th Std-Below 10th Std,5 and more,3,House wife,Improved,Will improve,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Remained the same,Remain the same
2825,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,SHAHDARA ,5th Std-Below 10th Std,5 and more,2,House wife,Worsened,Remain the same,Decreased,Will decrease,Remained the same,Will increase,Remained the same,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Remained the same,Will increase,,Will increase
2826,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,SHAKUR BASTI ,Post Graduate,5 and more,1,House wife,Worsened,Remain the same,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Decreased,Will decrease,Worsened,Remain the same,Remained the same,Will increase,,Will increase
2827,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,SULTANPUR MAJRA ,Below 5th Std,5 and more,2,House wife,Improved,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
2828,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,SULTANPUR MAJRA ,Illiterate,5 and more,3,Daily worker,Remained the same,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will improve,Increased,Will increase,Increased,Will decrease
2829,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,TILAK NAGAR ,Illiterate,5 and more,4,Employed,Remained the same,Will improve,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Improved,Will improve,Increased,Will increase,Increased,Will increase
2830,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,TRI NAGAR ,10th Std-Below 12th Std,3 or 4,1,House wife,Remained the same,Remain the same,Increased,Will increase,Remained the same,Will increase,Increased,Will increase,Remained the same,Will increase,Worsened,Will improve,Increased,Will decrease,Remained the same,
2831,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,VIKASPURI ,Illiterate,5 and more,2,House wife,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Will increase,Remained the same,Remain the same
2832,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,VIKASPURI ,Illiterate,5 and more,3,House wife,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Remained the same,Remain the same
2833,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,VISHWAS NAGAR ,10th Std-Below 12th Std,3 or 4,1,House wife,Improved,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2834,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,VISHWAS NAGAR ,10th Std-Below 12th Std,5 and more,1,House wife,Remained the same,Will worsen,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2835,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,VISHWAS NAGAR ,Graduate,3 or 4,1,Unemployed,Worsened,Will worsen,Increased,Will decrease,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
2836,43,Jun-18,Delhi,40-59 year,Female,Rs. 1 to less than 3 lakh,VISHWAS NAGAR ,Illiterate,5 and more,2,Self Employed/ Business,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Remained the same,Will increase,Increased,Will increase,Worsened,Remain the same,Decreased,Remain the same,,
2837,43,Jun-18,Delhi,40-59 year,Female,Rs. 3 lakh to 5 lakh,KARAWAL NAGAR ,10th Std-Below 12th Std,5 and more,1,House wife,Worsened,Remain the same,Decreased,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Remained the same,Remain the same,Worsened,Remain the same,Remained the same,Remain the same,,
2838,43,Jun-18,Delhi,40-59 year,Female,Rs. 3 lakh to 5 lakh,KONDLI ,5th Std-Below 10th Std,5 and more,1,Unemployed,Improved,Remain the same,Remained the same,Will increase,Remained the same,Will increase,Increased,Will increase,Remained the same,Will increase,Improved,Remain the same,Increased,Will increase,Increased,Will increase
2839,43,Jun-18,Delhi,40-59 year,Female,Rs. 3 lakh to 5 lakh,RAJINDER NAGAR ,Illiterate,5 and more,3,House wife,Worsened,Will worsen,Decreased,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
2840,43,Jun-18,Delhi,40-59 year,Female,Rs. 3 lakh to 5 lakh,SEEMA PURI ,12th Std,3 or 4,2,Self Employed/ Business,Remained the same,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Decreased,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase
2841,43,Jun-18,Delhi,40-59 year,Female,Rs. 5 lakh or more,TRI NAGAR ,Post Graduate,3 or 4,1,House wife,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Remained the same,Will increase,,Will increase
2842,43,Jun-18,Delhi,40-59 year,Female,Rs. 5 lakh or more,VIKASPURI ,10th Std-Below 12th Std,5 and more,2,House wife,Worsened,Remain the same,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Remain the same,Increased,Will increase,Increased,Remain the same
2843,43,Jun-18,Delhi,40-59 year,Male,Rs. 1 lakh or less,BADARPUR ,10th Std-Below 12th Std,3 or 4,1,Employed,Improved,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Remained the same,Will improve,Increased,Will increase,Increased,Will increase
2844,43,Jun-18,Delhi,40-59 year,Male,Rs. 1 lakh or less,BADARPUR ,5th Std-Below 10th Std,5 and more,1,Employed,Worsened,Remain the same,Increased,Will increase,Increased,Will increase,Decreased,Remain the same,Increased,Will increase,Worsened,Remain the same,Remained the same,Remain the same,,
2845,43,Jun-18,Delhi,40-59 year,Male,Rs. 1 lakh or less,BADARPUR ,5th Std-Below 10th Std,5 and more,2,Employed,Improved,Will improve,Decreased,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Will improve,Increased,Will increase,Increased,Will increase
2846,43,Jun-18,Delhi,40-59 year,Male,Rs. 1 lakh or less,BADARPUR ,Below 5th Std,5 and more,1,Employed,Improved,Remain the same,Remained the same,Will increase,Increased,Will increase,Increased,Will increase,Increased,Will increase,Improved,Will improve,Increased,Remain the same,Remained the same,
2847,43,Jun-18,Delhi,40-59 year,Male,Rs. 1 lakh or less,BADARPUR ,Below 5th Std,5 and more,1,Employed,Worsened,Will worsen,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Increased,Will increase,Worsened,Remain the same,Increased,Will increase,Increased,Will increase
2848,43,Jun-18,Delhi,40-59 year,Male,Rs. 1 lakh or less,BALLIMARAN ,5th Std-Below 10th Std,5 and more,1,Employed,Worsened,Will improve,Remained the same,Remain the same,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will improve,Increased,Will increase,Remained the same,Remain the same
2849,43,Jun-18,Delhi,40-59 year,Male,Rs. 1 lakh or less,BIJWASAN ,5th Std-Below 10th Std,5 and more,1,Self Employed/ Business,Worsened,Will worsen,Decreased,Will decrease,Increased,Will increase,Increased,Will increase,Remained the same,Remain the same,Worsened,Will worsen,Increased,Will increase,Increased,Will increase
